cancel vt.取消
science n.科学，自然科学
derelict adj．荒废的，被弃置的
June n.6月
beware vt.&vi.谨防，当心
forest n.森林
brusque adj．唐突的，鲁莽的
utility n.效用，有用，实用
optimistic a.乐观的
hungry a.（饥）饿的
proponent n．支持者,拥护者
empiricism n．经验主义
disquisition n．长篇演讲，专题论文
recordholder 记录保持者
prohibition n.禁止；禁令，禁律
behavior n.行为，举止，态度
minimize vt.使减到最小
descend v．下来，下降
slay v．杀，残杀
flavour n.味，味道；风味
superlative adj最佳的
canine adj．犬的，似犬的
slam vt.使劲关，砰地放下
weird adj．古怪的，荒唐的
descent n.下降；出身；斜坡
aperture n．孔隙，窄的缺口
assiduous adj．勤勉的，专心的
ancillary adj．辅助的，n．助手
slap vt.掴，拍n.巴掌，拍
niggling adj．琐碎的，费神的
eager a.渴望的，热切的
republic n.共和国
nuptials n．婚礼
vying adj．竞争的
historical a.历史的，有关历史的
farmland n.农田
acclamation n．欢呼
gibe v．n．嘲弄，讥笑
fitness n.适当，恰当；健康
artillery n．大炮，炮兵
surrender vt.交出vi.投降
photographic a.摄影的，摄影用的
caste n．社会等级，等级
gather v.聚集；采集
insist vi.坚持；坚决认为
beneficiary n．受惠者，（遗产的）受益人
accoutrements n．（军服，武器之外的）装备，配备（
perverse adj．刚愎自用的，故意作对的
preeminent adj．出类拔萃的
indignant adj．愤慨的，愤愤不平的
sailing n.航海
tofu n.豆腐
cynical adj．愤世嫉俗的
amoral adj．不知是非的
ventilate v．使…通风，透风
chimney n.烟囱，烟筒
baggage n.行李
technical a.技术的，工艺的
breakdown n.崩溃，倒塌；失败
ride v.骑（马、自行车）；乘车n.乘车旅行
veneer n（镶于劣质东西上的）镶面板，外表
ribald adj．下流的，粗鄙的
stretch vt.伸展vi.伸n.伸展
havoc n．大破坏，混乱
irritate v．激怒，刺激
medal n.奖牌
capitalism n.资本主义
photographer n.摄影师
satellite n.卫星
illuminate vt.照明，照亮；阐明
delirium n．精神错乱，发狂
mistake (mistook,mistaken)n.错误vt.弄错
protrude v．突出,伸出
flounder v．挣扎，艰苦地移动
toil n．v．辛苦，辛勤劳作
rich a.富裕的，有钱的
rice n.稻米；米饭
loutish adj．粗鲁的
residue n．剩余（财产）
significance n.重要性，意义
Indian a.（美洲）印地安人的；印度人的n.印地安人；印度人
family n.家庭；家族；子女
slew v．（使）旋转，n．大量，许多
physiological a.生理学的,生理学上的
atmosphere n.大气；气氛
gift n.赠品；礼物
taper n.细小的蜡烛；微光
Hong Kongn.香港
rife adj．流行的，普遍的
release vt.释放；放松；发表
slim a.苗条的，纤细的
Tibet n.西藏
toll n.(道路、桥等的)通行费；牺牲；死伤人数
dispassionate adj．平心静气的
pagan n．没有宗教信仰的人，异教徒
zealot n．狂热份子，热心者
luxuriant adj．繁茂的，肥沃的
judge n.裁判；审判员；法官vt.判断，断定
dream(dreamt或--ed) n.&vt.梦，梦想
abominate v．痛恨，痛恶
defile v．弄污，弄脏n．（山间）小道
wiggle v．扭动，蠕动
idiosyncrasy n．特殊癖性或行为
practitioner n.实践者，从事者；(医生或律师等)开业者
refreshments n.点心，便餐；(会议后的)简单茶点招待
philander v．调戏追逐女人
anyhow ad.不管怎样
extradite v．引渡回国,拿获归案
hooray int.好哇！（欢呼声）
fecund adj．肥沃的,多产的
biosphere n．生命层，生物圈
crossing n.十字路口，人行横道
quarry n．猎物，追求物
malnutrition n．营养不良
hedgehog n．刺猬
diminuendo n．（音乐）渐弱
circumscribe v.限制
gallows n．绞刑架，绞台
Toronto n.多伦多（加拿大港市）
tone n.音；腔调；声调
idyll n．田园生活，田园诗
savor n．味道，滋味，v．品尝，欣赏
holiday n.假日；假期
indubitable adj．不容置疑的
endearment n．亲爱的行为或话语
pesky adj．讨厌的，烦人的
potato n.土豆，马铃薯
incriminate v．连累，牵连
deficit n．不足，赤字
tomb n.坟墓
grandmother .（外）祖母
grasshopper n.蚱蜢，蝗虫，蚂蚱
cession n．割让，转让
veterinary adj．兽医的
storey n.(层)楼
rift n．裂缝，隙缝
slit v．撕裂n．裂口，裂缝
enigmatic adj．神秘的，难解的
slip n.片，条，纸片，纸条
anchor n.锚vi.抛锚，停泊
reprisal n．（政治或军事的）报复
logic n.逻辑，推理；逻辑性
manifesto n．宣言，声明
ruminative adj．沉思默想的
kilowatt n.千瓦(特)
aerial a.空气的；航空的
equanimity n．镇定，沉着
indigenous adj．土产的，本地的
nasty a.龌龊的；淫猥的
intense a.强烈的；紧张的
took vt.拿；拿走；做；服用；乘坐；花费
parody n．嘲弄文章，拙劣的模仿
tool n.工具，器具
outlandish adj．奇怪的，古怪的
Sunday n.星期日
ginger n．姜，活力
strenuous adj．费力的，精力充沛的
boundary n.边界，界限
magenta n．adj．紫红色（的染料）
mandate n．命令，指令，v．批准
enigma n．谜,谜一样的人或事
regal adj．帝王的，华丽的
respective adj．个别的，各自的
media n.大众传播媒介
slot n.狭缝；空位vt.放入狭缝中；把…纳入
around ad.在周围；在附近prep.在……周围；大约
factotum n．杂役,听差
regenerative a.新生的；回授的
Ireland *n.爱尔兰
larceny n盗窃
define vt.给…下定义；限定
permutation n．（数学中）排列变化，彻底改变（
haven n．安息所，避难所
buffalo n.水牛；水陆坦克
seaweed n.海草,海藻,海带
prelude n．序幕,前奏
quartz n.石英
air-conditioning n.空调设备，空调系统
specific a.明确的,具体的,独特的
interconnect vt.使互相联系
cacophony n．刺耳的声音
ignoble adj.卑鄙的，下流的
super a.顶好的，超级的
engage vt.使从事于；聘用
adroit adj．熟练的，灵巧的
whisper v.低语，私下说
recantation n．改变宗教信仰
frivolity n．轻浮
territory n.领土，版图；领域
amendment n．改正，修正
flare n．v．（火焰）摇曳，闪耀
spurious adj．假的，伪造的
collage n.拼贴画
grovel v．摇尾乞怜，奴颜婢膝
ring (rang,rung)v.（钟、铃等）响；打电话n.电话，铃声n.环形物（如环、圈、戒指等）
shift vt.替换，转移n.转换
implore v．哀求，恳求
echo n.回声，反响vi.重复
frolic n．v．嬉戏，雀跃．
bargain n.（经讨价还价后）成交的商品；廉价货v.讨价还价
cheese n.奶酪
ingrained adj．根深蒂固的
migrant n．移民，候鸟
despatch n./v.(dispatch)派遣;发送n.急件;新闻报道
rind n（西瓜等）外皮
formulation n.明确的表达
shoulder n.肩膀,(道路的)路肩
dance n.&vi.跳舞
cheers int.干杯，(口)谢谢，再见
fracas n．喧嚷，吵闹
iota n．极小量，极少
imminent adj．即将发生的，逼近的
immersion n．沉入，浸入
dining roomn.餐厅
amaze v.惊奇，惊叹；震惊
congenital adj．（病等）先天的，天生的
disinterested adj．公正的，客观的
toss vt.&vi.扔，抛，掷
dictionary n.词典，字典
slow ad.慢慢地，缓慢地
hooligan n．流氓，歹徒
energize vt.给与…能量；电压
recount v．描述，叙述
flask n．烧瓶，细颈瓶
pliable adj．易弯的,柔软的
rotten a.腐烂的，发臭的
flash n.闪；闪光；转瞬间
lenience n.宽大，温和
complexity n.复杂(性)
encipher v．译成密码
maybe ad.可能，大概，也许
dandy n．花花公子，好打扮的人
nebula n．星云，喷雾剂
pulsate v．有规律的振动
prodigious adj．很大的,巨大的
entwine v．使缠绕,交织
Canon n.佳能(照相机牌名)
helicopter n.直升飞机
vendor n．小贩
ripe a.成熟的，熟的
genetic adj．遗传的，起源的
outwards ad.向外的，外出的
silly a.傻的，愚蠢的
arouse vt.引起，唤起；唤醒
riot n.&vi.骚乱，暴乱
palpable adj．明显的，易觉察的
tout v．招徕顾客，极力赞扬
tour n.参观,观光,旅行
absolute a.完全，全部，绝对的
gossip n.闲谈；碎嘴子；漫笔
didactic adj．教诲的、说教的
slur v．含糊不清地讲
slum n.贫民窟，贫民区
granular adj．粒状的，含颗粒的
denture n．假牙
boast vi.自夸vt.吹嘘
segment n．部分
flank n.肋，肋腹；侧面
enunciation n．阐明，发表
slue v．（使）旋转
sidesplitting adj．令人捧腹大笑的
attractive a.迷人的，有吸引力的
cater v.提供饮食，承办酒席
chameleon n．变色龙，晰蜴
town n.城镇，城
penance n．自我惩罚
solldier n.士兵；战士
girl n.女孩
flutter vi.(鸟)振翼；飘动
germinate v．发芽，发展
despondent adj．失望的，意气消沉的
migrate vi.迁移，移居
pylon n．高压电线架，桥塔
tailwind n，顺风
September n.9月
nearly ad.将近，几乎
intrude v．闯入，强行引入
garble v．曲解，窜改
magnify v．放大，赞美
mellifluous adj．（音乐等）柔美流畅的
mammal n．哺乳动物
preliterate adj．无文字
gnomic adj．格言的，精辟的
rite n．（宗教的）仪式
election n.选举，选择权；当选
mould,mold n．模子，气质v．塑造
complexion n.肤色，局面
concision n．简明，简洁
bend(bent) vt.使弯曲
sophistry n．诡辩
gist n．要点，要旨
refer vi.谈到,提到,涉及,有关
risk n./v.危险，风险，冒险
flame n.火焰，光辉
rise vi.上升，上涨
discard vt.丢弃，抛弃，遗弃
systematic(al) a.有系统的；有计划的
subsidy n．补助金
parquetry n．镶木地板艺术或图案
prohibitive adj．抑制的,价格昂贵的
flair n．天赋，本领，才华
nearby a.附近的
hatred n.憎恶，憎恨，仇恨
catch v.接住；捉住；赶上；染上（疾病）
give v.给
counsel n.商议；忠告；律师
idealism n.唯心主义；理想主义
liver n.肝；肝脏
contention n．争论，论点
brimful adj充满的、盈满的
lofty adj．崇高的，高尚的loftysentiments．
explicit a.清楚明白,易于理解的
propriety n．礼节，适当
consequential adj．产生后果的，重要的
abase v．贬抑，使卑下
utilize v．利用，使用
subside v．（建筑物等）下陷，（天气等）平息，平静
flake n.片，薄片；肌膈
detoxicate vt．除毒，解毒
implicit adj．含蓄的，不言而喻的
futile a.无效的，无用的，无希望的
philatelist n．集邮家
dowdy adj．不整洁的，过旧的
abate v．减轻，降低
livid adj．青灰色的（撞伤），（脸色）苍白的
occasionally ad.偶然；非经常地
amass v．积聚
attuneto v.使调和,习惯于
immaterial adj．无关紧要的，非实体的
superannuated adj．老迈的，老式的
acronym n．首字母简略词，简称
strawberry n.草莓
shirk v．逃避，规避
tentative a.不确定的，踌躇的
temporize v．拖延
wrong a.错误,不正常,有毛病的
nasal adj．鼻的，有鼻音的
flail n．连枷（打谷工具）v．打，打击
shirt vn.男衬衫
eruption n．爆发
indefatigable adj．不知疲倦的
preside v．负责,指挥
board n.木板；布告牌；委员会；（政府的）部v.上（船、火车、飞机）
incontinent adj．无力控制（自己）的，纵欲的
used adj.用过的；半旧的
pharmacology n．药理学，药物学
cellar n.地窖；地下储藏室
intrigue v．密谋，引起极大兴趣
visible a.可见的，看得见的
tangle vt.使缠结，使纠缠
orient adj．上升的，v．确定方向，使熟悉情况
foolhardy adj．鲁莽的，有勇无谋的
upswing n．上升，增长
ice-cream n.冰淇淋
solely ad.单独地，唯一地
indifferent adj．不感兴趣的，漠不关心的
overhaul v．n．彻底检查，大修
eagle n.鹰
solemn a.庄严的；隆重的
weigh vt.称…的重量，重（若干）
flirtatious adj．调情的
endurance n.耐久力，持久力
necessarily ad.必然，必定
satirical adj．讽剌的，爱挖苦的
parallel n.极其相似的人,纬线
cosy,cozy adj．温暖而舒适的
pertinacious adj．顽固的
enzyme n．酵素,酶
breach v．毁坏，泄密n．缺口
granule n．小粒，微粒．
handful n.(一)把；少数，少量
stimulus n刺激，激励（复：stimuli）
curmudgeon n．脾气暴躁之人
regiment n．（军队）团v．严格控制
shine n.光泽；光彩；阳光；晴天；光(亮)
ellipsis n省略
surpass vt.超过，超越，胜过
headteacher n.校长
user n.使用者；用户
succumb v．屈从，屈服，因…死亡
oneself pron.自己；自身
unfold vt.展开，打开
translucent adj．半透明的
arbitrate v．仲裁，公断
bring v.带来；拿来
beddings n.卧具，铺盖
sauce n.酱汁；调味汁
brink n．（峭壁的）边沿，边缘
acquiescent adj．默认的，顺从的
robot n.机器人
aversion n.嫌恶,憎恨
robor n.机器人
colonial a.殖民地的，殖民的
perch v．（鸟）栖息n．鲈鱼
grandchild n.(外)孙或孙女.孙辈
rejoinder n．回答
grouse n．松鸡v．牢骚，诉苦
neglect vt.忽视，忽略；疏忽
chainstore(s) 连锁店
snappish adj．脾气暴燥的
Aisle n.(教堂、教室、戏院等里的)过道，通道
carve vt.刻；雕刻
league n.联盟，社团
hierarchy n．阶层，等级制度
remediable adj．可纠正的，可治疗的
uncanny adj．神秘的，不可思议的
firework n.焰火
northward(s) ad.向北方a.向北的
apocryphal adj伪经的，假冒的
exacerbate v.加重，恶化
upstart n．突然升官的人，暴发户
heterodox adj．异端的，非正统的
consequently ad.因此，因而，所以
profusion n．丰富、大量、浪费
metaphor n．隐喻，暗喻
furnished a.配备了家具的
scarcely ad.仅仅；几乎不
innovation n.创新，改革，新设施
appendage n．附加物
alternate vt.使交替a.交替的
attainment n.完成,成就
Thursday n.星期四
enchant v．使迷醉,施魔法于
decipher v．解开（疑团），破译（密码）
essential adj.本质的；主要的；必需的
insignia n．徽章，袖章
furnace n.炉子，熔炉；鼓风炉
haunt v．常到，（鬼魂）出没。（事情）萦绕心头n．常去的地方
residual adj．残余的，剩余的
recompense v．报酬，赔偿
murky adj．黑暗的，朦胧的
generosity n．慷慨、大方
excavation n.挖掘，发掘，被挖掘之地
warning n.警报
exclude v.排斥，排除
heating n.加热，供暖
crabbed adj．暴躁的
ribbon n.缎带，丝带；带
douse v．把…浸入水中，用水泼
mainland n.大陆
fourteen num.十四
acolyte n．（教士的）助手，侍僧
homogeneous adj．同类的，相似的
collate v.对照，核对
knife (复knives)n.小刀;匕首;刀片
laboured adj．吃力的，（文体）不自然的
Italy *n.意大利
burst v.突然发生；突然发作
carry vt.拿，搬，带，提，抬，背，抱，运等
arose vi.起来，升起；出现
necessity n.必要性；必然性
stickler n．坚持细节之人
origin n.起源，由来
incarcerate v．下狱，监禁
overhang vt.悬于…之上vi.悬垂
sanction n．v．批准，认可
mosaic n．镶嵌细工，马赛克
trouble vt.使苦恼,使忧虑,使麻烦n.问题,疾病,烦恼,麻烦
gestation n．怀孕，孕育时期
gaucherie n．笨拙
counter n.柜台，结账处
perpetuity n．永恒，永久
dally v．闲荡，嬉戏
coagulate v.凝结，使凝结
management n.管理；经营，处理
publish t.出版，发行
decade n.十年期
transcribe v．抄写，转录
carol n．赞美诗，颂歌
lunatic n．疯子，adj．极蠢的
perky adj．活泼的，大胆的
agony n．极大痛苦
capacious adj．容量大的，宽敞的，
bitterness n.苦味，辛酸，苦难
rodent n．啮齿类动物（如鼠等）
vessel n．血管，容器，船只
handtruck n.手推运货车
tensile a.张力的；能伸长的
ointment n．油膏，软膏
literally ad.照字义，逐字地
malign v．诽谤，中伤adj．邪恶的
conservation n保存；（自然资源的）保护，管理
rascal n.流氓，恶棍，无赖
pedestal n．（柱石或雕像的）基座
admonish v．训诫，警告
amplify v．放大，详述
delegate n．代表
cerebrum n．大脑
tumour n.(tumor)(肿)瘤，肿块
slump v．猛然落下，暴跌
peril n．危险
eddy n．漩涡，涡流
camera n.照相机；摄像机
exuberant adj．(人)充满活力的(植物)茂盛的
penitent adj．后悔的，忏悔的
verbose adj．冗长的，罗嗦的
generally ad.一般地；通常地
fastness n．要塞,城堡,坚固
complete a.完成vt.完成，结束
compensate v.补偿，弥补
nipping adj．尖酸的，剌骨的
liturgy n．礼拜形式
erasure n．擦掉,擦痕
bribe n.贿赂vt.向…行贿
smog n.烟雾(“＝”smoke+fog)
brotherhood n.兄弟般的关系
edge n.边缘
orchestra n.管弦乐队
relentless adj．无情的，残酷的
antique n.古董
widespread a.分布广的,普遍的
toxic adj．有毒的，中毒的
clench v.握紧，咬紧(牙关)
TRUE a.真的，真实的；忠诚的
doctrinaire n．空论家，adj．教条的，迂腐的
schematic adj．扼要的，图解的
wrench v．扭，拧，n．板钳，板手
expand v.扩大，增加，扩展
hateful a.可恨的，可恶的
squander v．浪费，挥霍
dyspepsia n．消化不良（
cantata n．清唱剧
survey vt.俯瞰；检查；测量
devastating adj．破坏性的
malice n．恶意
bride n.新娘
congruity n．全等，一致
dorsal adj．背部的，背脊的
displace vt.移置；取代；置换
brightly adv.明亮地；闪亮地
incompetent adj．无能力的不能胜任的
investigate vt.&vi.调查
swindle v．诈骗，骗取
considerable a.相当大的；重要的
toxin n．毒素，毒质
productivity n.生产率；多产
mimicry n．模仿，（动物等）拟态伪装
brick n.砖；砖块
sympathy n.同情
scabrous adj．粗糙的
brief a.简洁的
keyboard n.键盘
recover vi.痊愈；恢复
determine vt.决定；决心
cringing adj．n．谄媚（的），奉承（的）
daubster n．拙劣的画家
surfeit n．（食物）过量，过度
equip vt.提供设备；装备；配备
painting n.油画，水彩画
radiation n.放射，放射物
spiritual a.精神的；心灵的
aroma n．芳香，香气
wholesome a.适合卫生的
hang(hung,hung) v.悬挂，吊着；把……吊起
empyrean n．天空、天神居处
grouch n．牢骚，不满．
calculus n.微积分；结石
province n.省
empyreal adj.天空的(empyrealheights天空高处)
truculence n．凶猛，粗暴
bookcase n.书橱
diploma n.毕业文凭；学位证书
vibrant adj．振动的，明快的，生气勃勃
edit vt.编辑，编纂；校订
uncommitted adj．不受约束的，不承担责任的
twelve num.十二
disingenuous adj．不坦白的，不真诚的
minus prep.&a.负的，减去的
scythe n．大镰刀
conservative a.保守的，守旧的；保守主义的；谨慎的n.保守的人，保守主义
conference n.(正式的)会议；讨论
activity n.活动
grammatical a.语法上的
disturb vt.扰乱；打扰
smug adj．自满的，自命不凡的
persist vi.坚持，固执；持续
freshen vt.使显得新鲜
ceramics n．陶器，制陶业
stormy a.有暴风雨的；激烈的
poetaster n．蹩脚诗人
garage n.汽车间（库）
speculate v．沉思，思索，投机
abnegation n．克己，自制
atrophy n.v.萎缩,衰退
acquaint vt.使认识，使了解
partially ad.部分地
makeup n.组织；性格；化装品
country n.国家；农村，乡下
grow(grew,grown) v.生长；发育；种植；变成
stammer v．口吃，结巴
amazing a.惊奇,惊叹的;震惊的
trivial adj．琐细的，平庸的
postcard n.明信片
junkfood 没有营养的垃圾食品
longevity n．长寿
satisfactory a.令人满意的，良好的
wardrobe n．衣橱，全部服装
bazaar n.集市,商店集中区
scuttle v．急赶、疾走，逃辟
tactful adj．圆滑的，机敏的
conscientious a.审慎正直的，认真的，本着良心的
lilliputian adj．小人国的，气量小的
authoritative adj.权威性的,命令式的
venal adj．唯利是图的，贪脏枉法的
epidemic adj．传染性的，流行性的
suppose vt.猜想,假定,料想
upright a.垂直的；正直的
infliction n．（强加于人身的）痛苦，刑罚
chancellor n.(英)大臣；法官；(德、奥)总理；大学校长
rhubarb n．（植物）大黄，n．v．喧闹
extract vt.取出；榨取n.摘录
obscure adj．难解的，不清楚的v．隐藏，使…模糊
conspire v．阴谋，谋叛
region n.地区，地带；领域
support vt.&n.支持，赞助
deceive vt.欺骗，蒙蔽，行骗
finable adj．应罚款的
pulsating adj．节奏强的,极为兴奋的
practice=practise(英 n.&v.练习；实践
destination n.目的地，终点
ruffian n．恶棍，歹徒．adj．残暴的
vertical a.垂直的，纵向的
reciprocal adj．相互的，互惠的
damp a.&n.潮湿（的）
puerile adj．幼稚的，儿童的
settler n.移居者，开拓者
cast(cast,cast) v.扔，抛，撒
tango n．探戈舞
decamp v．（士兵）离营，匆忙秘密地离开
brighten vt.使发光；使快活
regime n．政权，政治制度
trivia n．琐事，无价值之物
apocrypha n．伪经，伪书
concomitant adj．伴随而来的
Cape Townn.开普敦（南非共和国港口城市）
soliloquy n．自言自语，独白
damn vt.诅咒n.诅咒；丝毫
deflection n．转向，偏斜
convalesce v．（病）康复，复原
location n.定位，测位；测量
intimidation n．恐吓
retort v．反驳
torment n.痛苦vt.折磨
therapeutic adj．治病的
fly(flew,flown) vi.（鸟、飞机）飞；（人乘飞机）飞行；（旗子等）飘动vt.空运（乘客，货物等）；放（风筝、飞机模型等）
venom n．毒液，恶毒，痛恨
hazard n．危险
melodrama n．情节剧，音乐戏剧
voluntary a.自愿的，主动的
asleep a.睡着的，熟睡
enshrine v．奉为神圣,珍藏
convoy v．护航，护送
coagulant n.凝结剂
lambaste v．痛打，痛骂
method n.方法，办法
ominous adj．预兆的、不祥的
vascular adj．血管的，脉管的
contrite adj．悔罪的，痛悔的
exist vi.存在
countermand v．撤回（命令），取消（订货）
parlous adj．靠不住的，危险的
cerebral adj．大脑的，深思的
mural adj．墙壁的n．壁画
rise(rose,risen) vi.上升，上涨
debacle n．解冻，崩溃．
warmonger n．好战者，战争贩子
slander n.&vt.诽谤，诋毁
repressive adj．镇压的，残酷的
distribution n.分发，分配；分布
capacity n．容量，能力
dart n．飞镖，v．急驰，投射
confess vt.供认，承认；坦白
ghost n.鬼，灵魂；鬼魂
exasperation n.激怒
dark n.黑暗；暗处；日暮a.黑暗的；暗淡的；深色的
witty a.机智的；风趣的
waterproof a.不透水的，防水的
intumescence n．肿大，肿胀
dare v.&aux..（后接不带to的不定式；主要用于疑问，否定或条件句）敢，敢于
interlude n．(活动间的)暂时休息
stutter v．n.口吃，结巴
illegality n．非法，违法
contrive v．计划，设计
oblivion n．遗忘
rotund adj．（人）圆胖的，（音声）洪亮的
emaciated adj.瘦弱的
unravel v．解开，拆散
firmness n.坚固，坚定，稳固
proselytize v．使……皈依
edible a.可食用的
asset n．财产，可取之处
inscrutable adj．高深莫测的，神秘的
date n.日期；约会n.枣
anesthetic n．麻醉剂
data n.资料，数据
theoretical a.理论的
hosepipe n．水管v．以水管浇洗
vibrate vt.使颤动vi.颤动
realistic a.现实的；现实主义的
firewood n.木柴
partisan n．党派支持者．
Olympic(s) a.&n.奥林匹克
sunny a.晴朗的;阳光充足的
eviscerate v.取出肠及内脏
erudition n．博学
upstage adj．骄傲的，高傲的
development n.发展，发达，发育，开发
maxim n．格言，普遍真理
brisk a.活泼的；清新的
prestige n.威望，威信，声望
spontaneity n．自然，自发
hilly a.丘陵的；多小山的
famish v．使饥饿
boxing n.拳击（运动）
embassy n.大使馆
ground n.地面
rectangle n.&a.长方形,长方形的
repression n.压抑，压制，镇压
dash v.&n.快跑，冲刺，短跑
serenade n．夜曲，小夜曲
fractious adj．（脾气）易怒的，好争吵的
moonlight n.&adj.月光（的）
penalty n．刑罚，处罚
exile v.n.放逐
implosion n．向内破裂，内爆
tempest n．暴风雨，骚动
regimen n．养生法，生活规则
felon n．重罪犯
refreshment n.茶点，点心，便餐
daub v．涂抹，乱画
confidence n.信心；自信
dictator n．独裁者
arbitrary a.随心所欲的，独裁的，专断的
hard-working adj.辛勤工作的；用功的
repletion n．充满，吃饱
oath n．誓约，誓言
compliance n.服从，听从
assured adj．自信的，确定的
dignity n.庄重，庄严，尊严。尊贵，高尚
snap vt.猛咬，突然折断
votary n．崇拜者，热心支持者
chips n.(pl.)炸土豆条（片）
forager n．为动物寻找饲料的人
explanation n.解释，说明
pummel v．(用拳)接连地打,打击
kettle n.(烧水用的)水壶
rupture n．v．破裂，断裂
these a.&pron.这些
paragon n．模范，典型
pellucid adj．清晰的，清澈的
graduation n.毕业，毕业典礼
philology n．语文学，语言学
kidnap vt.诱拐，绑架
prison n.监狱
whimsy n．古怪，异想天开
groom n马夫，新郎
everlasting a.永久的；持久的
neutral adj．中间的，中立的
tonality n．音质，音调
analysis n.分析，分析结果
rewrite vt.重写
flatcar n．平台型铁路货车
expendable adj.可耗尽的,可牺牲的
exposure n.暴露；揭露；曝光
correlation n.相互关系；对射
joust v．马上长枪比武，竞争
grope v．摸索，探索
dawn n.黎明，拂晓
asparagus n．芦笋（可作蔬菜）
greenhorn n．初学者，容易受骗的人
presumption n．假定,冒昧
humble adj．卑微的，低声下气的
eraser n.橡皮擦；黑板擦
chirp v．(鸟或虫)唧唧叫
harbour n.海港，港口vt.庇护
carriage n.四轮马车;（火车）客车厢
obedient adj．服从的，顺从的
glossy adj．光泽的，光滑的
deluge n．大洪水，豪雨
economically ad.节约地，在经济上
fervent adj．热的，热烈的
disband v．解散（团体）
editorial n.社论，期刊的社论
sharpen v.（使）变锐利，削尖
kernel n．果仁、核心
tardy adj．缓慢的，迟缓的
millinery n．女帽及其装饰物
printing n.印刷，印刷术
foliage n．叶子（总称）
photograph n.照片
persistence n.坚持；持续，存留
charcoal n.炭，木炭；生物炭
disguise v．假扮，掩饰
imperial a.帝国的，帝王的；(度量衡)英制的
liberal a.心胸宽大的；慷慨的
harmony n.融洽，和睦
sharply ad.锐利地，敏锐地
chill vt.使变冷n.寒冷
orthodoxy n．正统学说
pastel n．彩色粉笔画，柔和的色彩
impalpable adj．无法触及的，不易理解的
mobilephone 手提电话，手机
skipping rope（跳绳用）绳
patronage n．赞助，惠顾
gastritis n胃炎
conversation n.谈话，交谈
inquisitive adj．过份好问的，好奇的
controvert v．反驳，驳斥
strident adj．尖声的，刺耳的
memento n．纪念品
strange a.奇怪,奇特的,陌生的
external a.外部的，外面的
operahouse n.歌剧院,艺术剧院
circumstance n.条件,环境,状况
remunerate v．报酬，补偿
salutation n．致敬，（信开头）称呼
creature n.生物，动物
child (复children)n.孩子，儿童
legislature n．立法机关
inoculation n．接种，灌输
sculpt v．雕刻
interface n.分界面
wisdom n.智慧
hormone n．荷尔蒙，激素
pear n.梨子，梨树
treasure n.金银财宝,财富
engender v．产生，引起
puritanical adj．极端拘谨的
coffer n.保险箱
hurrah int.好哇，万岁，乌拉
peak v．憔悴，消瘦
pastoral adj．田园生活的，宁静的
china n.瓷器，瓷料
coffee n.咖啡
there int.那！你瞧（表示引起注意）n.那里，那儿ad.在那里，往那里；（作引导词）表”存在"
snip v．剪，剪断
farrow v．(母猪)生产n.一窝小猪
hopeless a.没有希望,不可救药的
dietitian n．营养学家
exterminate v．消灭,灭绝
moiety n．一半，半份
throaty adj．嗓子沙哑的
assiduity n．勤勉
pollinate v．给……授粉
Egyptian a.埃及的；埃及人的；埃及语的n.埃及人
kilogram n.千克
skunk n．臭鼬，黄鼠狼
both...and ……和……都
fumigate v．以烟熏消毒
proceed vi.进行；继续进行
tanner n．制革工人
hecatomb n．大屠杀，百牛大祭
birth n.出生；诞生
peck vt.&vi.啄，啄起
banister n.(楼梯的)栏杆
confirmation n.证实，确定；确认
recurrence adj．重现，反覆
utilitarian adj．功利的，实利的
volleyball n.排球
plumage n．羽毛
stoic n．坚忍克己之人
bromide n．溴化物（镇静药用），平庸的人或物
vulgarity n．粗俗，低级
irregular a.不规则的；不整齐的
hubbub n．嘈杂，喧哗
shaver n.理发师，刮胡须的用具，骗子。
peep vi.(从缝隙中)偷看
peer n．同等之人，同辈
surly adj脾气暴躁的，阴沉的
snob n．势利小人
accolade n．推崇备至，赞扬
peel vt.剥(皮)，削(皮)
homely adj．朴素的，不漂亮的
granddaughter n.（外）孙女
peek v．偷看
verge n.边缘，边界，界限
peptic adj．产生胃酶的，助消化的
pastry n．糕点，点心
caucus n．政党高层会议，核心人物
mirth n．欢乐，欢笑
prohibit v.禁止
asperity n．粗鲁，艰苦
pachyderm n．厚皮动物，厚脸皮的人
arrow n.箭；箭头
chide v．叱责，指责
reign n．统治时期，王朝，领域
manner n.方式，态度，举止
deadlock n．相持不下，僵局
foresee (foresaw,foreseen)vt.预见.预知
kidney n.肾，腰子；性格
stationery n．文具
mineral n.矿物质，矿物
stock adj．普通的，惯用的
distraught adj．心神狂乱的
heroin n.海洛因
surge v．n．波涛汹涌，波动
vociferous adj．喧哗的，大叫大嚷的
heroic a.英雄的；英勇的
belittle v．轻视，贬抑
chick n.小鸡
senator n.参议员；评议员
gleeful adj．欢乐的，欣喜的
snow n.雪vi.下雪
rarely ad.很少，难得
vanquish v．征服，击溃
boulder n．巨石
denominate v．命名，取名
complication n.复杂，混乱；并发症
carapace n．（蟹或龟等的）甲壳
fruit n.水果；果实
cause n.原因，起因vt.促使，引起，使发生
grievous adj．严重伤害的，引起痛苦的
despise vt.鄙视，蔑视
Dynasty n.王朝，朝代
agitated adj．被鼓动的，不安的
beetle n.甲虫；近视眼的人
genetics n．遗传学
